age_group,workclass,education,marital_status,occupation,relationship,race,sex,hours_per_week,US_native,over_50k
35-44,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,45,T,F
45-54,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Male,40,T,F
35-44,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,50,T,F
25-34,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,T,T
55-64,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,T
25-34,Private,HS-grad,Never-married,Craft-repair,Own-child,Black,Male,40,T,F
25-34,Private,Assoc-voc,Never-married,Sales,Other-relative,White,Female,40,F,F
25-34,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,T,T
15-24,Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,40,T,F
35-44,Private,HS-grad,Separated,Craft-repair,Not-in-family,Black,Male,40,T,F
35-44,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,45,T,F
25-34,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,T,F
15-24,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,T,F
45-54,Private,Some-college,Never-married,Sales,Not-in-family,White,Male,70,T,T
45-54,Self-emp-not-inc,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,T,T
35-44,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,T,T
25-34,Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,T,F
25-34,Private,HS-grad,Married-spouse-absent,Transport-moving,Not-in-family,White,Male,55,T,F
25-34,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,60,T,F
45-54,Private,Assoc-voc,Divorced,Prof-specialty,Unmarried,White,Female,40,T,F
25-34,Private,Assoc-acdm,Never-married,Sales,Not-in-family,White,Male,52,T,F
25-34,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,45,T,T
25-34,Local-gov,HS-grad,Never-married,Protective-serv,Not-in-family,White,Male,40,T,F
65+,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,T,T
35-44,Private,Some-college,Never-married,Sales,Unmarried,White,Male,50,T,F
25-34,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,T,T
45-54,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,T,F
25-34,Federal-gov,Bachelors,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,40,T,T
15-24,Private,11th,Never-married,Craft-repair,Not-in-family,White,Male,50,T,F
45-54,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,F
35-44,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,T,T
25-34,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,40,T,F
35-44,Private,9th,Separated,Other-service,Not-in-family,White,Male,40,T,F
35-44,Private,Some-college,Divorced,Transport-moving,Not-in-family,White,Male,60,T,F
55-64,Private,10th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,T,F
45-54,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,48,T,F
25-34,Private,HS-grad,Divorced,Craft-repair,Unmarried,White,Male,99,T,F
25-34,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,65,T,F
45-54,Federal-gov,HS-grad,Married-civ-spouse,Tech-support,Husband,White,Male,40,T,F
25-34,Private,Doctorate,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,40,F,F
35-44,Self-emp-inc,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,T,F
45-54,Private,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,T,F
25-34,Private,Bachelors,Never-married,Tech-support,Unmarried,White,Male,40,T,F
25-34,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,F,F
25-34,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,T,F
25-34,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,40,F,F
35-44,Private,Masters,Separated,Exec-managerial,Not-in-family,White,Female,50,T,F
25-34,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,65,T,F
45-54,Self-emp-not-inc,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,40,T,F
45-54,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,40,T,F
25-34,Private,HS-grad,Divorced,Farming-fishing,Not-in-family,White,Male,40,T,F
45-54,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,75,T,F
25-34,Federal-gov,12th,Never-married,Adm-clerical,Not-in-family,Black,Male,40,F,F
55-64,Private,HS-grad,Divorced,Other-service,Not-in-family,White,Female,40,T,F
25-34,Private,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Female,40,T,F
25-34,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,40,T,F
45-54,Local-gov,Preschool,Married-civ-spouse,Other-service,Husband,White,Male,40,T,F
55-64,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,T,T
25-34,State-gov,Masters,Divorced,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Male,50,T,F
45-54,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,40,F,F
45-54,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40,T,T
15-24,Private,Bachelors,Never-married,Tech-support,Own-child,White,Male,40,T,F
45-54,Private,10th,Married-civ-spouse,Sales,Husband,White,Male,70,T,F
25-34,Private,Assoc-acdm,Never-married,Other-service,Own-child,White,Male,43,T,F
15-24,Private,11th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,T,F
25-34,Private,Assoc-voc,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,T,F
55-64,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,50,T,F
25-34,Private,HS-grad,Never-married,Transport-moving,Not-in-family,White,Male,75,T,F
55-64,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,84,T,T
25-34,Local-gov,Assoc-acdm,Married-civ-spouse,Other-service,Husband,White,Male,80,T,F
25-34,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,T,T
45-54,Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,40,T,F
35-44,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Wife,Black,Female,40,T,T
35-44,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,T,F
35-44,Private,HS-grad,Married-spouse-absent,Machine-op-inspct,Unmarried,White,Female,40,T,F
35-44,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,99,T,T
25-34,Federal-gov,Assoc-voc,Divorced,Adm-clerical,Own-child,Black,Female,40,T,F
45-54,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,40,T,T
45-54,Private,Some-college,Divorced,Exec-managerial,Unmarried,White,Female,70,T,F
45-54,Private,11th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,T,F
25-34,Private,Some-college,Separated,Tech-support,Unmarried,Black,Female,40,T,F
35-44,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,45,T,T
45-54,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,F,T
25-34,Private,Assoc-voc,Never-married,Adm-clerical,Own-child,White,Female,40,T,F
35-44,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,T,F
35-44,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,99,T,F
25-34,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,F,T
35-44,Private,Some-college,Never-married,Exec-managerial,Unmarried,Black,Female,99,T,F
45-54,Private,HS-grad,Widowed,Transport-moving,Not-in-family,White,Male,45,T,F
45-54,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,46,F,T
15-24,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,T,F
35-44,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,T
45-54,Private,Bachelors,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,T,T
55-64,Private,11th,Married-civ-spouse,Tech-support,Wife,Black,Female,40,T,F
25-34,Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,55,T,F
35-44,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50,T,F
35-44,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,Husband,Other,Male,40,F,F
45-54,Private,5th-6th,Widowed,Other-service,Unmarried,White,Female,40,F,F
35-44,Private,Bachelors,Never-married,Handlers-cleaners,Not-in-family,Asian-Pac-Islander,Female,50,F,F
55-64,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,40,T,F
35-44,Private,Bachelors,Married-spouse-absent,Tech-support,Own-child,Asian-Pac-Islander,Female,40,T,F
15-24,Private,Some-college,Never-married,Other-service,Not-in-family,White,Male,40,T,F
45-54,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Amer-Indian-Eskimo,Male,40,T,F
25-34,Private,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,40,T,F
25-34,Private,Assoc-acdm,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,T,F
25-34,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,42,T,T
35-44,Private,12th,Separated,Other-service,Unmarried,White,Female,40,F,F
15-24,Private,11th,Married-civ-spouse,Other-service,Husband,White,Male,40,T,F
65+,Self-emp-inc,7th-8th,Widowed,Exec-managerial,Not-in-family,White,Female,40,T,F
25-34,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,T,T
25-34,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,T,F
15-24,Local-gov,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,40,T,F
55-64,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,T,F
35-44,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,45,T,F
15-24,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,50,T,F
35-44,Private,1st-4th,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,F,F
25-34,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,80,T,F
25-34,State-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,48,T,T
15-24,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,40,T,F
25-34,Private,Some-college,Never-married,Prof-specialty,Not-in-family,White,Male,40,T,F
35-44,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,T,T
35-44,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,T,F
25-34,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,40,T,F
35-44,Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,T,T
45-54,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,T,T
35-44,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,45,T,T
35-44,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,45,T,F
35-44,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,T,F
45-54,Self-emp-inc,Masters,Married-civ-spouse,Sales,Husband,White,Male,40,T,T
25-34,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,45,T,F
25-34,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,70,T,F
25-34,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Male,45,T,F
55-64,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,50,T,F
15-24,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,White,Female,45,T,F
45-54,Self-emp-not-inc,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,F
15-24,Private,HS-grad,Never-married,Sales,Own-child,White,Female,40,T,F
35-44,Private,Assoc-acdm,Separated,Machine-op-inspct,Not-in-family,White,Male,40,F,F
25-34,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,50,T,F
45-54,Local-gov,Masters,Divorced,Prof-specialty,Unmarried,White,Male,45,T,T
55-64,Private,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,40,T,F
25-34,Private,Some-college,Never-married,Exec-managerial,Own-child,White,Female,40,T,F
55-64,Private,Some-college,Divorced,Sales,Not-in-family,White,Female,40,T,F
35-44,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,40,T,F
15-24,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,F
25-34,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,40,T,T
25-34,Private,HS-grad,Never-married,Protective-serv,Not-in-family,Asian-Pac-Islander,Male,40,F,F
25-34,Private,Bachelors,Never-married,Exec-managerial,Own-child,White,Male,40,T,F
25-34,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,40,T,F
25-34,Private,Assoc-acdm,Divorced,Prof-specialty,Not-in-family,White,Male,50,T,F
45-54,Private,HS-grad,Never-married,Adm-clerical,Other-relative,White,Female,40,T,F
45-54,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,T,T
25-34,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,44,T,F
15-24,Private,9th,Never-married,Craft-repair,Other-relative,White,Male,40,T,F
25-34,Private,HS-grad,Divorced,Sales,Unmarried,Black,Male,50,T,F
55-64,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,50,T,T
45-54,Private,Some-college,Divorced,Exec-managerial,Unmarried,White,Female,40,T,F
55-64,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,T,T
15-24,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,45,T,F
45-54,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,F
25-34,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,50,T,T
35-44,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,F
45-54,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,T
35-44,Private,Assoc-voc,Married-civ-spouse,Tech-support,Husband,White,Male,40,T,T
35-44,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,T,F
15-24,Private,Some-college,Never-married,Prof-specialty,Not-in-family,White,Female,40,T,F
55-64,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,70,T,T
35-44,Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,T,F
25-34,State-gov,HS-grad,Separated,Other-service,Not-in-family,White,Female,40,T,F
25-34,Private,Assoc-acdm,Divorced,Machine-op-inspct,Not-in-family,White,Female,42,T,F
35-44,Self-emp-not-inc,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,99,T,F
25-34,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,55,T,T
45-54,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,50,F,T
45-54,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,T,T
45-54,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,T,T
45-54,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,F,F
35-44,Private,9th,Divorced,Transport-moving,Not-in-family,Black,Male,40,T,F
35-44,Private,Assoc-acdm,Never-married,Craft-repair,Not-in-family,White,Male,40,T,F
35-44,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,T,F
45-54,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,T
35-44,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,T,F
45-54,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,40,T,T
35-44,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,40,T,F
55-64,Private,HS-grad,Married-spouse-absent,Craft-repair,Other-relative,White,Male,40,F,F
55-64,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,T,F
55-64,Private,Bachelors,Divorced,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,40,F,F
35-44,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,45,T,F
35-44,Self-emp-not-inc,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,56,T,T
45-54,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40,T,T
35-44,Private,Bachelors,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,45,F,T
25-34,Private,Bachelors,Never-married,Tech-support,Not-in-family,White,Female,40,T,F
65+,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,40,T,F
35-44,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,40,T,F
55-64,Private,Bachelors,Divorced,Adm-clerical,Not-in-family,White,Female,40,T,T
35-44,Local-gov,Assoc-voc,Married-civ-spouse,Protective-serv,Husband,White,Male,40,T,T
65+,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,T,F
25-34,Private,HS-grad,Never-married,Other-service,Other-relative,White,Male,40,F,F
45-54,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,40,T,T
15-24,Private,HS-grad,Never-married,Other-service,Other-relative,White,Male,40,F,F
25-34,Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,40,F,F
45-54,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,T,T
25-34,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,65,T,F
25-34,Self-emp-not-inc,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,F
25-34,Private,10th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,T,F
35-44,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,48,T,T
25-34,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Female,45,T,F
55-64,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,T,T
35-44,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,65,T,T
45-54,Private,Bachelors,Never-married,Tech-support,Unmarried,Asian-Pac-Islander,Female,40,F,F
35-44,Private,Some-college,Divorced,Sales,Not-in-family,White,Male,40,T,F
45-54,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,T,T
35-44,Private,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,T,T
35-44,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,55,T,F
45-54,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Female,60,T,F
45-54,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,65,F,F
35-44,Private,Some-college,Separated,Craft-repair,Not-in-family,Black,Male,40,T,F
45-54,Federal-gov,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,40,T,F
25-34,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,40,T,F
25-34,Private,Some-college,Never-married,Machine-op-inspct,Own-child,Black,Male,40,T,F
25-34,Private,Bachelors,Never-married,Exec-managerial,Own-child,White,Male,40,T,F
25-34,Private,HS-grad,Never-married,Other-service,Unmarried,White,Female,50,T,F
35-44,Federal-gov,HS-grad,Never-married,Exec-managerial,Unmarried,Black,Female,40,T,F
55-64,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,F
25-34,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,T,F
45-54,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,F
25-34,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,F,F
35-44,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,F
35-44,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40,T,T
35-44,Private,Assoc-voc,Married-civ-spouse,Sales,Husband,White,Male,50,F,T
25-34,Local-gov,Bachelors,Separated,Prof-specialty,Not-in-family,White,Female,40,T,F
35-44,Private,Masters,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,F
35-44,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,40,T,F
35-44,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,T,T
35-44,Private,Bachelors,Separated,Other-service,Not-in-family,White,Male,40,T,F
35-44,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,40,T,F
35-44,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Female,40,T,F
25-34,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,T,F
15-24,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,40,T,F
45-54,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Male,50,T,F
25-34,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,T,F
25-34,Private,Bachelors,Never-married,Sales,Own-child,White,Male,40,T,F
35-44,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,40,T,F
45-54,Private,5th-6th,Separated,Machine-op-inspct,Unmarried,White,Female,40,F,F
45-54,Self-emp-not-inc,Some-college,Divorced,Sales,Unmarried,White,Male,65,T,T
35-44,Self-emp-not-inc,HS-grad,Married-spouse-absent,Craft-repair,Not-in-family,White,Female,40,T,F
25-34,Private,Some-college,Divorced,Tech-support,Not-in-family,White,Female,40,T,F
35-44,Private,Some-college,Never-married,Craft-repair,Own-child,Asian-Pac-Islander,Male,40,T,F
15-24,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,72,T,T
35-44,Private,11th,Separated,Transport-moving,Not-in-family,White,Male,90,T,F
35-44,Local-gov,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,40,T,F
35-44,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,Black,Female,40,T,F
45-54,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,F,T
45-54,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50,T,T
25-34,Private,Assoc-voc,Divorced,Tech-support,Unmarried,White,Female,40,T,F
35-44,Federal-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,T
25-34,Self-emp-inc,Bachelors,Never-married,Exec-managerial,Own-child,White,Male,80,T,F
45-54,Private,HS-grad,Widowed,Other-service,Other-relative,Asian-Pac-Islander,Female,50,F,F
35-44,Private,12th,Married-civ-spouse,Other-service,Husband,Black,Male,40,F,F
15-24,Private,HS-grad,Never-married,Adm-clerical,Own-child,Black,Female,60,T,F
45-54,Private,10th,Divorced,Machine-op-inspct,Unmarried,White,Female,40,T,F
25-34,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,T,T
45-54,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,40,F,T
45-54,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,F
45-54,Private,HS-grad,Divorced,Craft-repair,Unmarried,White,Female,40,T,F
45-54,Local-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,T,T
35-44,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,40,T,F
45-54,Private,Some-college,Widowed,Other-service,Unmarried,Black,Female,40,T,F
25-34,State-gov,Some-college,Divorced,Protective-serv,Other-relative,White,Male,45,T,F
55-64,Self-emp-not-inc,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,48,T,F
25-34,Private,10th,Never-married,Other-service,Not-in-family,White,Male,40,T,F
25-34,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Male,50,F,F
55-64,Private,11th,Widowed,Machine-op-inspct,Not-in-family,White,Female,40,T,F
35-44,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,45,T,F
15-24,Private,Some-college,Married-spouse-absent,Other-service,Not-in-family,White,Male,45,T,F
15-24,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,T,F
25-34,Private,11th,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,T,F
65+,Private,10th,Married-civ-spouse,Protective-serv,Husband,White,Male,40,T,F
15-24,Private,9th,Never-married,Other-service,Own-child,Amer-Indian-Eskimo,Male,40,T,F
55-64,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,70,F,T
45-54,Private,Assoc-voc,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,T,F
45-54,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Male,40,F,F
25-34,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,40,T,F
65+,Self-emp-not-inc,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,58,T,T
35-44,Local-gov,Masters,Divorced,Prof-specialty,Unmarried,White,Female,44,T,F
55-64,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,T,F
35-44,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,50,T,T
25-34,Private,HS-grad,Never-married,Transport-moving,Own-child,White,Male,40,T,F
25-34,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,43,T,F
35-44,Private,Assoc-voc,Never-married,Adm-clerical,Not-in-family,White,Female,40,T,F
25-34,Private,Assoc-voc,Never-married,Adm-clerical,Own-child,White,Male,40,T,F
25-34,Private,HS-grad,Never-married,Adm-clerical,Unmarried,White,Male,41,T,F
15-24,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,40,T,F
35-44,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,45,F,F
45-54,Self-emp-not-inc,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male,65,T,F
25-34,Private,Assoc-voc,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Male,45,T,F
65+,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,T,T
15-24,Private,12th,Never-married,Sales,Other-relative,White,Male,55,T,F
35-44,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,40,T,F
35-44,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,40,T,T
55-64,Local-gov,HS-grad,Widowed,Other-service,Not-in-family,White,Female,40,F,F
55-64,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,T,T
35-44,Private,Masters,Divorced,Exec-managerial,Not-in-family,White,Female,50,T,T
45-54,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,T,T
35-44,Local-gov,Assoc-acdm,Divorced,Other-service,Unmarried,White,Male,60,T,T
35-44,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,60,T,F
55-64,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,42,T,F
25-34,Private,Prof-school,Never-married,Prof-specialty,Other-relative,White,Female,40,T,F
